SEGMENT	MODE	NHB_OFFPEAK
1	AUTO	0.000000
1	TRANSIT	-3.332614
1	WALKBIKE	-0.536339
1	SOV	0.000000
1	HOV	-0.287966
1	POOL2	0.000000
1	POOL3	-0.817487
1	WALKTRAN	0.000000
1	DRIVETRAN	-1.506340
1	DROPTRAN	-3.394191
1	WALKPREM	0.000000
1	WALKBUS	1.293868
1	DRIVEPREM	0.000000
1	DRIVEBUS	-5.654592
1	DROPPREM	0.000000
1	DROPBUS	-2.383747
1	WALK	0.000000
1	BIKE	-4.353189
2	AUTO	0.000000
2	TRANSIT	-2.359424
2	WALKBIKE	1.848577
2	SOV	0.000000
2	HOV	-1.117686
2	POOL2	0.000000
2	POOL3	-1.559865
2	WALKTRAN	0.000000
2	DRIVETRAN	-0.367612
2	DROPTRAN	-6.000000
2	WALKPREM	0.000000
2	WALKBUS	-0.447384
2	DRIVEPREM	0.000000
2	DRIVEBUS	-5.512768
2	DROPPREM	0.000000
2	DROPBUS	-0.577557
2	WALK	0.000000
2	BIKE	-6.000000
1	AUTO	0.000000
1	TRANSIT	-3.361442
1	WALKBIKE	-0.537305
1	SOV	0.000000
1	HOV	-0.287964
1	POOL2	0.000000
1	POOL3	-0.817485
1	WALKTRAN	0.000000
1	DRIVETRAN	-1.398442
1	DROPTRAN	-3.271198
1	WALKPREM	0.000000
1	WALKBUS	1.383748
1	DRIVEPREM	0.000000
1	DRIVEBUS	-5.859949
1	DROPPREM	0.000000
1	DROPBUS	-2.563433
1	WALK	0.000000
1	BIKE	-4.353033
2	AUTO	0.000000
2	TRANSIT	-2.344322
2	WALKBIKE	1.847951
2	SOV	0.000000
2	HOV	-1.117689
2	POOL2	0.000000
2	POOL3	-1.559868
2	WALKTRAN	0.000000
2	DRIVETRAN	-0.382727
2	DROPTRAN	-6.000000
2	WALKPREM	0.000000
2	WALKBUS	-0.524314
2	DRIVEPREM	0.000000
2	DRIVEBUS	-5.513217
2	DROPPREM	0.000000
2	DROPBUS	-0.682525
2	WALK	0.000000
2	BIKE	-6.000000
