SEGMENT	MODE	HBU_OFFPEAK
1	AUTO	0.000000
1	TRANSIT	0.811947
1	WALKBIKE	3.105996
1	SOV	0.000000
1	HOV	-1.900929
1	POOL2	0.000000
1	POOL3	-1.982481
1	WALKTRAN	0.000000
1	DRIVETRAN	-1.038702
1	DROPTRAN	-3.813089
1	WALKPREM	0.000000
1	WALKBUS	1.896692
1	DRIVEPREM	0.000000
1	DRIVEBUS	-0.464958
1	DROPPREM	0.000000
1	DROPBUS	0.745237
1	WALK	0.000000
1	BIKE	-6.000000
2	AUTO	0.000000
2	TRANSIT	0.258330
2	WALKBIKE	0.811948
2	SOV	0.000000
2	HOV	-2.135067
2	POOL2	0.000000
2	POOL3	-1.460064
2	WALKTRAN	0.000000
2	DRIVETRAN	-1.467294
2	DROPTRAN	-3.916653
2	WALKPREM	0.000000
2	WALKBUS	1.968794
2	DRIVEPREM	0.000000
2	DRIVEBUS	-0.902707
2	DROPPREM	0.000000
2	DROPBUS	1.356570
2	WALK	0.000000
2	BIKE	-4.990860
1	AUTO	0.000000
1	TRANSIT	0.752661
1	WALKBIKE	3.094134
1	SOV	0.000000
1	HOV	-1.900544
1	POOL2	0.000000
1	POOL3	-1.982062
1	WALKTRAN	0.000000
1	DRIVETRAN	-0.935162
1	DROPTRAN	-3.755827
1	WALKPREM	0.000000
1	WALKBUS	1.768572
1	DRIVEPREM	0.000000
1	DRIVEBUS	-0.574689
1	DROPPREM	0.000000
1	DROPBUS	0.621098
1	WALK	0.000000
1	BIKE	-6.000000
2	AUTO	0.000000
2	TRANSIT	0.202036
2	WALKBIKE	0.743579
2	SOV	0.000000
2	HOV	-2.131758
2	POOL2	0.000000
2	POOL3	-1.458554
2	WALKTRAN	0.000000
2	DRIVETRAN	-1.390307
2	DROPTRAN	-3.847419
2	WALKPREM	0.000000
2	WALKBUS	1.826718
2	DRIVEPREM	0.000000
2	DRIVEBUS	-0.788292
2	DROPPREM	0.000000
2	DROPBUS	1.221887
2	WALK	0.000000
2	BIKE	-4.989552
1	AUTO	0.000000
1	TRANSIT	0.767552
1	WALKBIKE	3.082886
1	SOV	0.000000
1	HOV	-1.900236
1	POOL2	0.000000
1	POOL3	-1.981772
1	WALKTRAN	0.000000
1	DRIVETRAN	-0.932309
1	DROPTRAN	-3.740386
1	WALKPREM	0.000000
1	WALKBUS	1.647625
1	DRIVEPREM	0.000000
1	DRIVEBUS	-0.658791
1	DROPPREM	0.000000
1	DROPBUS	0.506695
1	WALK	0.000000
1	BIKE	-6.000000
2	AUTO	0.000000
2	TRANSIT	0.212894
2	WALKBIKE	0.708441
2	SOV	0.000000
2	HOV	-2.130251
2	POOL2	0.000000
2	POOL3	-1.457247
2	WALKTRAN	0.000000
2	DRIVETRAN	-1.417624
2	DROPTRAN	-3.827706
2	WALKPREM	0.000000
2	WALKBUS	1.692507
2	DRIVEPREM	0.000000
2	DRIVEBUS	-0.728721
2	DROPPREM	0.000000
2	DROPBUS	1.104916
2	WALK	0.000000
2	BIKE	-4.975063
1	AUTO	0.000000
1	TRANSIT	0.794770
1	WALKBIKE	3.078195
1	SOV	0.000000
1	HOV	-1.900112
1	POOL2	0.000000
1	POOL3	-1.981664
1	WALKTRAN	0.000000
1	DRIVETRAN	-0.956374
1	DROPTRAN	-3.739608
1	WALKPREM	0.000000
1	WALKBUS	1.534269
1	DRIVEPREM	0.000000
1	DRIVEBUS	-0.717889
1	DROPPREM	0.000000
1	DROPBUS	0.401563
1	WALK	0.000000
1	BIKE	-6.000000
2	AUTO	0.000000
2	TRANSIT	0.241100
2	WALKBIKE	0.696233
2	SOV	0.000000
2	HOV	-2.129822
2	POOL2	0.000000
2	POOL3	-1.456778
2	WALKTRAN	0.000000
2	DRIVETRAN	-1.466485
2	DROPTRAN	-3.830925
2	WALKPREM	0.000000
2	WALKBUS	1.566897
2	DRIVEPREM	0.000000
2	DRIVEBUS	-0.697847
2	DROPPREM	0.000000
2	DROPBUS	1.003522
2	WALK	0.000000
2	BIKE	-4.968293
1	AUTO	0.000000
1	TRANSIT	0.823569
1	WALKBIKE	3.076430
1	SOV	0.000000
1	HOV	-1.900066
1	POOL2	0.000000
1	POOL3	-1.981625
1	WALKTRAN	0.000000
1	DRIVETRAN	-0.988260
1	DROPTRAN	-3.743007
1	WALKPREM	0.000000
1	WALKBUS	1.428384
1	DRIVEPREM	0.000000
1	DRIVEBUS	-0.759067
1	DROPPREM	0.000000
1	DROPBUS	0.305220
1	WALK	0.000000
1	BIKE	-6.000000
2	AUTO	0.000000
2	TRANSIT	0.272886
2	WALKBIKE	0.692304
2	SOV	0.000000
2	HOV	-2.129710
2	POOL2	0.000000
2	POOL3	-1.456642
2	WALKTRAN	0.000000
2	DRIVETRAN	-1.517168
2	DROPTRAN	-3.842538
2	WALKPREM	0.000000
2	WALKBUS	1.449832
2	DRIVEPREM	0.000000
2	DRIVEBUS	-0.683634
2	DROPPREM	0.000000
2	DROPBUS	0.915648
2	WALK	0.000000
2	BIKE	-4.965691
