     12001,      1.00,      1.00,      1.00,      1.00
     12002,      0.95,      1.00,      1.00,      1.00
     12003,      1.00,      1.00,      1.00,      1.00
     12004,      1.00,      1.00,      1.00,      1.00
     12005,      0.91,      1.00,      1.00,      1.00
     12006,      0.90,      1.00,      1.00,      1.00
     12007,      1.00,      1.00,      1.00,      1.00
     12008,      1.00,      1.00,      1.00,      1.00
     12009,      1.00,      1.00,      1.00,      1.00
     12010,      0.98,      1.00,      1.00,      1.00
     12011,      1.00,      1.00,      1.00,      1.00
     12012,      0.99,      1.00,      1.00,      1.00
     12013,      0.98,      1.00,      1.00,      1.00
     12014,      1.00,      1.00,      1.00,      1.00
     12015,      0.93,      1.00,      1.00,      1.00
     12016,      1.00,      1.00,      1.00,      1.00
     12017,      0.98,      1.00,      1.00,      1.00
     12018,      1.00,      1.00,      1.00,      1.00
     12019,      0.99,      1.00,      1.00,      1.00
     12020,      1.00,      1.00,      1.00,      1.00
     12021,      0.98,      1.00,      1.00,      1.00
     12022,      0.99,      1.00,      1.00,      1.00
     12023,      0.93,      1.00,      1.00,      1.00
     12024,      0.87,      1.00,      1.00,      1.00
     12025,      0.89,      1.00,      1.00,      1.00
     12026,      0.83,      1.00,      1.00,      1.00
     12027,      0.87,      1.00,      1.00,      1.00
     12028,      0.87,      1.00,      1.00,      1.00
     12029,      0.94,      1.00,      1.00,      1.00
     12030,      0.98,      1.00,      1.00,      1.00
     12031,      0.99,      1.00,      1.00,      1.00
     12032,      0.99,      1.00,      1.00,      1.00
     12033,      0.86,      1.00,      1.00,      1.00
     12034,      0.99,      1.00,      1.00,      1.00
     12036,      1.00,      1.00,      1.00,      1.00
     12037,      1.00,      1.00,      1.00,      1.00
     12038,      0.84,      1.00,      1.00,      1.00
     12039,      1.00,      1.00,      1.00,      1.00
     12040,      1.00,      1.00,      1.00,      1.00
     12041,      0.98,      1.00,      1.00,      1.00
     12042,      0.99,      1.00,      1.00,      1.00
     12043,      0.95,      1.00,      1.00,      1.00
     12044,      0.96,      1.00,      1.00,      1.00
     12045,      0.88,      1.00,      1.00,      1.00
     12047,      0.98,      1.00,      1.00,      1.00
     12048,      0.98,      1.00,      1.00,      1.00
     12049,      0.93,      0.99,      1.00,      1.00
     12050,      0.96,      1.00,      1.00,      1.00
     12051,      0.91,      1.00,      1.00,      1.00
     12052,      1.00,      1.00,      1.00,      1.00
     12053,      0.84,      1.00,      1.00,      1.00
     12055,      0.97,      1.00,      1.00,      1.00
     12056,      0.89,      1.00,      1.00,      1.00
     12057,      0.99,      1.00,      1.00,      1.00
     12058,      0.50,      1.00,      0.99,      1.00
     12059,      0.99,      1.00,      1.00,      1.00
     12060,      0.97,      1.00,      1.00,      1.00
     12061,      0.86,      1.00,      1.00,      1.00
     12062,      0.99,      1.00,      1.00,      1.00
     12063,      0.89,      1.00,      1.00,      1.00
     12064,      0.98,      1.00,      1.00,      1.00
     12065,      0.88,      1.00,      1.00,      1.00
     12066,      0.91,      1.00,      1.00,      1.00
     12067,      1.00,      1.00,      1.00,      1.00
     12068,      1.00,      1.00,      1.00,      1.00
