         1,         1,     1.143,     3.537,     8.501,    16.959,    18.680,     1.663,     3.721,     7.377,     9.622,    13.889,     6.853,    15.338,    20.593,    40.254,    72.848,     0.000,    90.829,    35.127,    20.761,    10.215,     0.424,     1.162,     0.157,     0.235,     0.427,     0.000,     0.000,     0.000,     0.000,     0.000
         2,         2,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,    52.949,     0.000,    56.266,     1.356,     0.789,     0.400,     0.000,     0.000,     0.006,     0.009,     0.017,     0.000,     0.000,     0.000,     0.000,     0.000
         3,         3,    15.311,    14.874,    16.964,    14.266,    79.904,     6.177,    44.320,    30.718,    19.663,    11.432,    98.258,    77.148,    48.156,    39.963,    90.919,    33.305,   300.172,   286.271,   159.486,    74.319,     0.895,     3.761,     1.326,     1.871,     3.229,     0.000,     0.000,     0.000,     0.000,     0.000
         4,         4,    27.298,    51.746,    79.251,   103.136,   231.382,    20.001,    88.267,   117.192,    98.549,    91.006,   202.557,   302.732,   251.006,   315.189,   136.163,    59.750,   637.594,   359.121,   176.108,    73.284,     4.242,    15.454,     1.758,     2.183,     3.371,     0.000,     0.000,     0.000,     0.000,     0.000
         5,         5,    33.312,    98.530,   222.582,   422.302,   408.813,    38.806,   122.553,   222.056,   269.979,   375.843,   238.621,   479.854,   606.140,  1163.792,   117.652,    72.577,   737.569,   280.892,   137.781,    51.939,    13.268,    38.498,     1.459,     1.813,     2.541,     0.000,     0.000,     0.000,     0.000,     0.000
         6,         6,     3.727,    12.251,    33.657,    90.016,    90.080,    12.554,    43.947,    25.636,    38.389,    74.010,    71.379,    54.683,    84.980,   218.843,   160.546,   158.580,   571.189,   292.387,    81.548,    22.050,     2.431,     7.221,     1.609,     1.138,     1.146,     0.000,     0.000,     0.000,     0.000,     0.000
         7,         7,    30.307,    99.463,   273.078,   729.972,   734.127,    65.807,   103.058,   208.195,   311.620,   600.363,   191.759,   444.906,   690.796,  1777.393,    98.669,    28.333,   648.050,   217.856,   112.081,    41.375,    20.536,    54.067,     1.248,     1.628,     2.242,     0.000,     0.000,     0.000,     0.000,     0.000
         8,         8,     3.894,    16.115,    56.483,   219.442,   125.074,    12.037,    16.073,    33.114,    63.178,   182.222,    24.164,    56.346,   124.402,   492.756,    89.156,     1.735,   310.903,    62.799,    31.149,    10.067,     5.561,    12.697,     0.376,     0.473,     0.571,     0.000,     0.000,     0.000,     0.000,     0.000
         9,         9,   143.566,   182.136,   247.797,   292.456,   772.756,    62.987,   430.560,   382.552,   284.115,   237.424,   870.654,   857.385,   626.961,   729.506,   106.081,    62.904,   795.342,   271.386,   132.753,    45.220,    17.454,    59.426,     1.744,     2.166,     2.766,     0.000,     0.000,     0.000,     0.000,     0.000
        10,        10,    88.223,    90.391,   110.120,   106.846,   388.907,    31.028,   262.834,   190.022,   126.546,    86.214,   536.283,   428.917,   279.691,   272.213,    80.447,    19.920,   347.103,    98.013,    51.952,    18.534,     8.337,    30.435,     0.661,     0.889,     1.192,     0.000,     0.000,     0.000,     0.000,     0.000
