         1,         1,     2.119,     4.640,    11.847,    30.066,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,    17.859,    26.953,    38.935,   133.629,    72.848,     0.000,    90.829,    34.800,    20.218,     9.356,     0.000,     0.000,     0.000,     0.000,     0.000,     3.212,     4.013,     0.335,     0.511,     0.727
         2,         2,     0.065,     0.142,     0.363,     1.515,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     9.446,    14.256,    20.594,    67.812,    52.949,     0.000,    56.266,     1.343,     0.768,     0.367,     0.000,     0.000,     0.000,     0.000,     0.000,     1.379,     2.231,     0.013,     0.020,     0.029
         3,         3,    15.064,    32.990,    84.234,   354.719,     0.000,     0.000,    52.114,    70.550,    97.591,    66.889,    43.235,    65.252,    94.260,   314.506,    90.919,    33.305,   300.172,   283.652,   155.374,    68.177,     0.000,     0.000,     0.000,     0.000,     0.000,    13.419,    11.743,     2.231,     3.200,     4.280
         4,         4,    26.136,    57.237,   146.145,   376.521,     0.000,     0.000,    63.997,    86.637,   119.844,   277.314,    89.838,   135.586,   195.861,   688.214,   136.163,    59.750,   637.594,   355.929,   171.681,    67.392,     0.000,     0.000,     0.000,     0.000,     0.000,    12.388,    17.927,     2.031,     2.556,     3.030
         5,         5,    15.149,    33.176,    84.708,   178.667,     0.000,     0.000,    65.611,    88.823,   122.868,   239.443,   147.369,   222.413,   321.288,  1074.961,   117.652,    72.577,   737.569,   278.478,   134.418,    47.896,     0.000,     0.000,     0.000,     0.000,     0.000,     4.903,    16.361,     1.108,     1.392,     1.486
         6,         6,    42.700,    93.512,   238.766,   154.021,   997.468,     0.000,    57.854,    78.321,   108.340,   194.168,    65.111,    98.267,   141.952,   416.273,   160.546,   158.580,   571.189,   289.963,    79.620,    20.393,     0.000,     0.000,     0.000,     0.000,     0.000,     5.597,    10.701,     0.817,     0.583,     0.445
         7,         7,     7.720,    16.906,    43.166,   106.331,     0.000,     0.000,    73.267,    99.186,   137.203,   219.352,   162.951,   245.930,   355.259,  1179.092,    98.669,    28.333,   648.050,   216.098,   109.493,    38.346,     0.000,     0.000,     0.000,     0.000,     0.000,     1.764,     9.569,     0.496,     0.652,     0.679
         8,         8,     1.682,     3.684,     9.408,    64.716,     0.000,     0.000,    21.931,    29.689,    41.069,   149.708,    62.415,    94.198,   136.074,   495.193,    89.156,     1.735,   310.903,    62.308,    30.450,     9.352,     0.000,     0.000,     0.000,     0.000,     0.000,     0.901,     3.514,     0.122,     0.154,     0.141
         9,         9,    10.997,    24.082,    61.489,   193.318,     0.000,     0.000,    83.501,   113.041,   156.369,   377.917,   172.800,   260.795,   376.732,  1274.518,   106.081,    62.904,   795.342,   269.383,   129.917,    42.187,     0.000,     0.000,     0.000,     0.000,     0.000,     2.130,     9.175,     0.506,     0.633,     0.611
        10,        10,     2.793,     6.117,    15.619,    39.768,     0.000,     0.000,    36.116,    48.893,    67.633,    94.671,    85.443,   128.952,   186.278,   600.796,    80.447,    19.920,   347.103,    97.320,    50.882,    17.342,     0.000,     0.000,     0.000,     0.000,     0.000,     0.836,     4.541,     0.206,     0.280,     0.284
        11,        11,     6.572,    14.392,    36.747,   154.657,     0.000,     0.000,    23.905,    32.362,    44.766,   110.646,    32.693,    49.341,    71.275,   247.119,    97.290,    43.880,   236.673,   117.770,    29.849,     6.472,     0.000,     0.000,     0.000,     0.000,     0.000,     1.989,     2.679,     0.266,     0.175,     0.113
        12,        12,    24.037,    52.639,   134.405,   344.475,  4095.256,     0.000,    71.329,    96.564,   133.576,   342.691,   119.353,   180.130,   260.208,   927.566,   215.215,    40.815,   985.885,   292.642,    93.867,    24.227,     0.000,     0.000,     0.000,     0.000,     0.000,     4.288,    18.658,     0.570,     0.474,     0.364
        13,        13,    22.689,    49.687,   126.867,   378.894,   950.960,     0.000,    99.275,   134.395,   185.908,   512.722,   172.206,   259.898,   375.436,  1313.076,   189.095,    76.013,  1102.298,   344.254,   136.187,    39.610,     0.000,     0.000,     0.000,     0.000,     0.000,     4.145,    12.963,     0.647,     0.664,     0.574
        14,        14,     7.678,    16.814,    42.931,   154.794,     0.000,     0.000,    56.364,    76.304,   105.550,   310.478,   120.986,   182.595,   263.769,   907.385,   100.958,    42.950,   598.792,   182.427,    88.113,    27.869,     0.000,     0.000,     0.000,     0.000,     0.000,     1.700,     6.578,     0.338,     0.423,     0.398
        15,        15,    14.509,    31.774,    81.129,   351.573,     0.000,     0.000,    87.460,   118.401,   163.783,   411.079,   124.791,   188.337,   272.063,   939.714,   155.255,    72.096,   760.024,   249.729,    94.741,    26.923,     0.000,     0.000,     0.000,     0.000,     0.000,     3.477,     7.961,     0.476,     0.469,     0.396
        16,        16,    10.962,    24.007,    61.298,   178.402,     0.000,     0.000,    58.040,    78.573,   108.689,   239.032,   130.857,   197.493,   285.289,  1001.188,   121.921,    21.081,   588.105,   218.844,    99.454,    35.581,     0.000,     0.000,     0.000,     0.000,     0.000,     2.606,     8.320,     0.505,     0.596,     0.635
        17,        17,     2.469,     5.408,    13.808,    65.938,     0.000,     0.000,     9.709,    13.144,    18.182,    16.663,    23.256,    35.099,    50.702,   172.901,    89.269,     5.757,   144.987,    45.534,    18.567,     7.522,     0.000,     0.000,     0.000,     0.000,     0.000,     1.530,     2.055,     0.143,     0.152,     0.183
        18,        18,    28.117,    61.574,   157.219,   840.543,     0.000,     0.000,   141.457,   191.501,   264.901,  1192.064,   165.364,   249.571,   360.520,  1273.249,   263.437,   112.618,  1665.363,   404.412,   162.681,    38.773,     0.000,     0.000,     0.000,     0.000,     0.000,    18.011,    34.705,     1.850,     1.939,     1.388
        19,        19,    12.381,    27.113,    69.228,   391.468,     0.000,     0.000,    64.383,    87.160,   120.568,   306.974,    69.077,   104.253,   150.599,   534.721,   157.269,    67.707,   606.009,   247.897,    79.815,    21.001,     0.000,     0.000,     0.000,     0.000,     0.000,    10.601,    15.686,     1.379,     1.158,     0.920
        20,        20,     9.131,    19.997,    51.058,   152.480,     0.000,     0.000,    45.008,    60.931,    84.285,    88.467,    91.609,   138.259,   199.722,   682.472,   100.638,    11.840,   443.233,   203.895,   112.303,    46.114,     0.000,     0.000,     0.000,     0.000,     0.000,     7.011,    17.932,     1.491,     2.148,     2.683
        21,        21,    21.284,    46.611,   119.012,   263.570,   205.613,     0.000,    61.742,    83.584,   115.621,   160.170,   116.533,   175.874,   254.060,   849.777,   160.715,    70.023,   705.093,   312.036,   117.330,    39.411,     0.000,     0.000,     0.000,     0.000,     0.000,    15.290,    32.059,     2.690,     2.651,     2.724
        22,        22,    12.666,    27.738,    70.824,   181.858,     0.000,     0.000,    48.897,    66.195,    91.567,    61.802,    69.167,   104.388,   150.794,   477.897,    86.680,    30.710,   314.111,   217.571,   115.461,    48.450,     0.000,     0.000,     0.000,     0.000,     0.000,    10.363,    17.377,     2.030,     2.827,     3.641
        23,        23,     7.026,    15.386,    39.285,   225.904,     0.000,     0.000,    40.896,    55.364,    76.585,   423.844,    60.942,    91.975,   132.863,   473.338,   110.415,    13.435,   500.856,   105.660,    51.108,    13.626,     0.000,     0.000,     0.000,     0.000,     0.000,     8.248,    18.175,     0.758,     0.959,     0.777
