   1   2  18:00      .0056 .0798 .0048 .1067 .0046 .1023
   1   2  18:30      .0013 .0344 .0029 .0668 .0026 .0608
   1   2  19:00      .0023 .0356 .0022 .0456 .0023 .0429
   1   2  19:30      .0031 .0165 .0030 .0300 .0028 .0263
   1   2  20:00      .0013 .0100 .0030 .0194 .0018 .0148
   1   2  20:30      .0003 .0110 .0000 .0112 .0002 .0100
   1   2  21:00      .0030 .0245 .0024 .0140 .0020 .0176
   1   2  21:30      .0020 .0099 .0022 .0187 .0017 .0152
   1   2  22:00      .0026 .0136 .0023 .0142 .0019 .0123
   1   2  22:30      .0027 .0095 .0020 .0106 .0022 .0096
   1   2  23:00      .0019 .0159 .0035 .0135 .0021 .0127
   1   2  23:30      .0005 .0065 .0005 .0144 .0003 .0086
   1   3  00:00      .0000 .0076 .0000 .0076 .0000 .0045
   1   3  00:30      .0088 .0000 .0088 .0000 .0057 .0000
   1   3  01:00      .0000 .0000 .0000 .0000 .0000 .0000
   1   3  01:30      .0000 .0000 .0000 .0000 .0000 .0000
   1   3  02:00      .0000 .0000 .0000 .0000 .0000 .0000
   1   3  02:30      .0000 .0000 .0000 .0000 .0000 .0000
   1   3  03:00      .0000 .0000 .0000 .0000 .0000 .0000
   1   3  03:30      .0000 .0000 .0000 .0000 .0000 .0000
   1   3  04:00      .0018 .0000 .0000 .0000 .0012 .0000
   1   3  04:30      .0000 .0000 .0018 .0000 .0012 .0000
   1   3  05:00      .0380 .0000 .0068 .0000 .0246 .0000
   1   3  05:30      .0541 .0000 .0444 .0000 .0552 .0000
   1   3  06:00      .0670 .0056 .0369 .0056 .0697 .0033
   1   3  06:30      .1745 .0000 .1520 .0000 .1586 .0000
   1   3  07:00      .1099 .0058 .1099 .0000 .1314 .0034
   1   3  07:30      .1089 .0000 .1402 .0058 .1308 .0034
   1   3  08:00      .0304 .0000 .0749 .0000 .0598 .0000
   1   3  08:30      .0515 .0000 .0589 .0000 .0447 .0000
   1   3  09:00      .0213 .0070 .0167 .0000 .0204 .0041
   1   3  09:30      .0193 .0000 .0271 .0070 .0221 .0041
   1   3  10:00      .0000 .0113 .0071 .0000 .0046 .0066
   1   3  10:30      .0038 .0000 .0000 .0000 .0025 .0066
