1	913931.0000
2	777931.0000
3	682005.0000
4	605177.0000
5	540572.0000
6	484889.0000
7	436202.0000
8	393234.0000
9	355072.0000
10	321022.0000
11	290537.0000
12	263171.0000
13	238553.0000
14	216370.0000
15	196352.0000
16	178268.0000
17	161914.0000
18	147113.0000
19	133708.0000
20	121558.0000
21	110541.0000
22	100546.0000
23	91474.0000
24	83237.0000
25	75755.0000
26	68956.0000
27	62778.0000
28	57161.0000
29	52053.0000
30	47408.0000
31	43182.0000
32	39337.0000
33	35838.0000
34	32653.0000
35	29754.0000
36	27115.0000
37	24712.0000
38	22523.0000
39	20530.0000
40	18714.0000
41	17060.0000
42	15553.0000
43	14180.0000
44	12929.0000
45	11789.0000
46	10750.0000
47	9803.0000
48	8940.0000
49	8154.0000
50	7436.0000
51	6783.0000
52	6186.0000
53	5643.0000
54	5147.0000
55	4695.0000
56	4283.0000
57	3908.0000
58	3565.0000
59	3252.0000
60	2967.0000
61	2707.0000
62	2470.0000
63	2254.0000
64	2057.0000
65	1877.0000
66	1712.0000
67	1563.0000
68	1426.0000
69	1301.0000
70	1188.0000
71	1084.0000
72	989.0000
73	903.0000
74	824.0000
75	752.0000
76	686.0000
77	626.0000
78	572.0000
79	522.0000
80	476.0000
81	435.0000
82	397.0000
83	362.0000
84	331.0000
85	302.0000
86	275.0000
87	251.0000
88	230.0000
89	210.0000
90	191.0000
91	175.0000
92	159.0000
93	146.0000
94	133.0000
95	121.0000
96	111.0000
97	101.0000
98	92.0000
99	84.0000
100	77.0000
