SEGMENT	MODE	HBU_PEAK
1	AUTO	0.000000
1	TRANSIT	-0.608605
1	WALKBIKE	1.313734
1	SOV	0.000000
1	HOV	-1.903231
1	POOL2	0.000000
1	POOL3	-1.268030
1	WALKTRAN	0.000000
1	DRIVETRAN	0.025772
1	DROPTRAN	-1.927112
1	WALKPREM	0.000000
1	WALKBUS	0.845908
1	DRIVEPREM	0.000000
1	DRIVEBUS	-6.000000
1	DROPPREM	0.000000
1	DROPBUS	-5.324171
1	WALK	0.000000
1	BIKE	-6.000000
2	AUTO	0.000000
2	TRANSIT	-2.204478
2	WALKBIKE	-0.085339
2	SOV	0.000000
2	HOV	-2.228437
2	POOL2	0.000000
2	POOL3	-1.605867
2	WALKTRAN	0.000000
2	DRIVETRAN	-0.279820
2	DROPTRAN	-2.315472
2	WALKPREM	0.000000
2	WALKBUS	1.468695
2	DRIVEPREM	0.000000
2	DRIVEBUS	-6.000000
2	DROPPREM	0.000000
2	DROPBUS	-4.006127
2	WALK	0.000000
2	BIKE	-5.159277
1	AUTO	0.000000
1	TRANSIT	-0.592617
1	WALKBIKE	1.313696
1	SOV	0.000000
1	HOV	-1.903231
1	POOL2	0.000000
1	POOL3	-1.268031
1	WALKTRAN	0.000000
1	DRIVETRAN	0.003361
1	DROPTRAN	-1.946337
1	WALKPREM	0.000000
1	WALKBUS	0.789013
1	DRIVEPREM	0.000000
1	DRIVEBUS	-6.000000
1	DROPPREM	0.000000
1	DROPBUS	-5.338830
1	WALK	0.000000
1	BIKE	-6.000000
2	AUTO	0.000000
2	TRANSIT	-2.187018
2	WALKBIKE	-0.085351
2	SOV	0.000000
2	HOV	-2.228436
2	POOL2	0.000000
2	POOL3	-1.605866
2	WALKTRAN	0.000000
2	DRIVETRAN	-0.304335
2	DROPTRAN	-2.339372
2	WALKPREM	0.000000
2	WALKBUS	1.407330
2	DRIVEPREM	0.000000
2	DRIVEBUS	-6.000000
2	DROPPREM	0.000000
2	DROPBUS	-4.013425
2	WALK	0.000000
2	BIKE	-5.159208
1	AUTO	0.000000
1	TRANSIT	-0.577985
1	WALKBIKE	1.313661
1	SOV	0.000000
1	HOV	-1.903231
1	POOL2	0.000000
1	POOL3	-1.268031
1	WALKTRAN	0.000000
1	DRIVETRAN	-0.017147
1	DROPTRAN	-1.964297
1	WALKPREM	0.000000
1	WALKBUS	0.736890
1	DRIVEPREM	0.000000
1	DRIVEBUS	-6.000000
1	DROPPREM	0.000000
1	DROPBUS	-5.350961
1	WALK	0.000000
1	BIKE	-6.000000
2	AUTO	0.000000
2	TRANSIT	-2.171121
2	WALKBIKE	-0.085362
2	SOV	0.000000
2	HOV	-2.228435
2	POOL2	0.000000
2	POOL3	-1.605866
2	WALKTRAN	0.000000
2	DRIVETRAN	-0.326621
2	DROPTRAN	-2.361063
2	WALKPREM	0.000000
2	WALKBUS	1.351348
2	DRIVEPREM	0.000000
2	DRIVEBUS	-6.000000
2	DROPPREM	0.000000
2	DROPBUS	-4.020287
2	WALK	0.000000
2	BIKE	-5.159143
1	AUTO	0.000000
1	TRANSIT	-0.564608
1	WALKBIKE	1.313629
1	SOV	0.000000
1	HOV	-1.903230
1	POOL2	0.000000
1	POOL3	-1.268031
1	WALKTRAN	0.000000
1	DRIVETRAN	-0.035888
1	DROPTRAN	-1.980931
1	WALKPREM	0.000000
1	WALKBUS	0.689184
1	DRIVEPREM	0.000000
1	DRIVEBUS	-6.000000
1	DROPPREM	0.000000
1	DROPBUS	-5.361291
1	WALK	0.000000
1	BIKE	-6.000000
2	AUTO	0.000000
2	TRANSIT	-2.156663
2	WALKBIKE	-0.085373
2	SOV	0.000000
2	HOV	-2.228435
2	POOL2	0.000000
2	POOL3	-1.605865
2	WALKTRAN	0.000000
2	DRIVETRAN	-0.346860
2	DROPTRAN	-2.380733
2	WALKPREM	0.000000
2	WALKBUS	1.300344
2	DRIVEPREM	0.000000
2	DRIVEBUS	-6.000000
2	DROPPREM	0.000000
2	DROPBUS	-4.026705
2	WALK	0.000000
2	BIKE	-5.159083
1	AUTO	0.000000
1	TRANSIT	-0.552388
1	WALKBIKE	1.313599
1	SOV	0.000000
1	HOV	-1.903230
1	POOL2	0.000000
1	POOL3	-1.268031
1	WALKTRAN	0.000000
1	DRIVETRAN	-0.052999
1	DROPTRAN	-1.996246
1	WALKPREM	0.000000
1	WALKBUS	0.645555
1	DRIVEPREM	0.000000
1	DRIVEBUS	-6.000000
1	DROPPREM	0.000000
1	DROPBUS	-5.370287
1	WALK	0.000000
1	BIKE	-6.000000
2	AUTO	0.000000
2	TRANSIT	-2.143529
2	WALKBIKE	-0.085384
2	SOV	0.000000
2	HOV	-2.228434
2	POOL2	0.000000
2	POOL3	-1.605864
2	WALKTRAN	0.000000
2	DRIVETRAN	-0.365224
2	DROPTRAN	-2.398557
2	WALKPREM	0.000000
2	WALKBUS	1.253930
2	DRIVEPREM	0.000000
2	DRIVEBUS	-6.000000
2	DROPPREM	0.000000
2	DROPBUS	-4.032679
2	WALK	0.000000
2	BIKE	-5.159027
