SEGMENT	MODE	NHB_PEAK
1	AUTO	0.000000
1	TRANSIT	-3.137346
1	WALKBIKE	-0.594242
1	SOV	0.000000
1	HOV	-0.295370
1	POOL2	0.000000
1	POOL3	-0.443612
1	WALKTRAN	0.000000
1	DRIVETRAN	-2.051603
1	DROPTRAN	-4.641658
1	WALKPREM	0.000000
1	WALKBUS	1.792413
1	DRIVEPREM	0.000000
1	DRIVEBUS	-0.811092
1	DROPPREM	0.000000
1	DROPBUS	3.073957
1	WALK	0.000000
1	BIKE	-4.032156
2	AUTO	0.000000
2	TRANSIT	-2.438306
2	WALKBIKE	-0.107323
2	SOV	0.000000
2	HOV	-2.448358
2	POOL2	0.000000
2	POOL3	-2.220514
2	WALKTRAN	0.000000
2	DRIVETRAN	-0.855453
2	DROPTRAN	-3.288088
2	WALKPREM	0.000000
2	WALKBUS	-2.475520
2	DRIVEPREM	0.000000
2	DRIVEBUS	-6.000000
2	DROPPREM	0.000000
2	DROPBUS	-6.000000
2	WALK	0.000000
2	BIKE	-5.497763
1	AUTO	0.000000
1	TRANSIT	-3.024186
1	WALKBIKE	-0.593517
1	SOV	0.000000
1	HOV	-0.295373
1	POOL2	0.000000
1	POOL3	-0.443615
1	WALKTRAN	0.000000
1	DRIVETRAN	-2.296799
1	DROPTRAN	-4.851874
1	WALKPREM	0.000000
1	WALKBUS	1.422658
1	DRIVEPREM	0.000000
1	DRIVEBUS	-0.643645
1	DROPPREM	0.000000
1	DROPBUS	3.131494
1	WALK	0.000000
1	BIKE	-4.032318
2	AUTO	0.000000
2	TRANSIT	-2.443743
2	WALKBIKE	-0.107347
2	SOV	0.000000
2	HOV	-2.448358
2	POOL2	0.000000
2	POOL3	-2.220515
2	WALKTRAN	0.000000
2	DRIVETRAN	-0.848287
2	DROPTRAN	-3.279879
2	WALKPREM	0.000000
2	WALKBUS	-2.450399
2	DRIVEPREM	0.000000
2	DRIVEBUS	-6.000000
2	DROPPREM	0.000000
2	DROPBUS	-6.000000
2	WALK	0.000000
2	BIKE	-5.497760
1	AUTO	0.000000
1	TRANSIT	-2.936097
1	WALKBIKE	-0.593486
1	SOV	0.000000
1	HOV	-0.295373
1	POOL2	0.000000
1	POOL3	-0.443616
1	WALKTRAN	0.000000
1	DRIVETRAN	-2.458975
1	DROPTRAN	-5.012653
1	WALKPREM	0.000000
1	WALKBUS	1.103762
1	DRIVEPREM	0.000000
1	DRIVEBUS	-0.552923
1	DROPPREM	0.000000
1	DROPBUS	3.183230
1	WALK	0.000000
1	BIKE	-4.032332
2	AUTO	0.000000
2	TRANSIT	-2.447916
2	WALKBIKE	-0.107364
2	SOV	0.000000
2	HOV	-2.448358
2	POOL2	0.000000
2	POOL3	-2.220515
2	WALKTRAN	0.000000
2	DRIVETRAN	-0.842783
2	DROPTRAN	-3.273582
2	WALKPREM	0.000000
2	WALKBUS	-2.431159
2	DRIVEPREM	0.000000
2	DRIVEBUS	-6.000000
2	DROPPREM	0.000000
2	DROPBUS	-6.000000
2	WALK	0.000000
2	BIKE	-5.497759
1	AUTO	0.000000
1	TRANSIT	-2.862426
1	WALKBIKE	-0.593482
1	SOV	0.000000
1	HOV	-0.295373
1	POOL2	0.000000
1	POOL3	-0.443615
1	WALKTRAN	0.000000
1	DRIVETRAN	-2.584203
1	DROPTRAN	-5.149321
1	WALKPREM	0.000000
1	WALKBUS	0.831482
1	DRIVEPREM	0.000000
1	DRIVEBUS	-0.509657
1	DROPPREM	0.000000
1	DROPBUS	3.230034
1	WALK	0.000000
1	BIKE	-4.032320
2	AUTO	0.000000
2	TRANSIT	-2.451120
2	WALKBIKE	-0.107378
2	SOV	0.000000
2	HOV	-2.448358
2	POOL2	0.000000
2	POOL3	-2.220515
2	WALKTRAN	0.000000
2	DRIVETRAN	-0.838557
2	DROPTRAN	-3.268750
2	WALKPREM	0.000000
2	WALKBUS	-2.416412
2	DRIVEPREM	0.000000
2	DRIVEBUS	-6.000000
2	DROPPREM	0.000000
2	DROPBUS	-6.000000
2	WALK	0.000000
2	BIKE	-5.497757
1	AUTO	0.000000
1	TRANSIT	-2.801098
1	WALKBIKE	-0.593481
1	SOV	0.000000
1	HOV	-0.295373
1	POOL2	0.000000
1	POOL3	-0.443615
1	WALKTRAN	0.000000
1	DRIVETRAN	-2.681411
1	DROPTRAN	-5.265376
1	WALKPREM	0.000000
1	WALKBUS	0.600871
1	DRIVEPREM	0.000000
1	DRIVEBUS	-0.496064
1	DROPPREM	0.000000
1	DROPBUS	3.272636
1	WALK	0.000000
1	BIKE	-4.032306
2	AUTO	0.000000
2	TRANSIT	-2.453582
2	WALKBIKE	-0.107388
2	SOV	0.000000
2	HOV	-2.448359
2	POOL2	0.000000
2	POOL3	-2.220515
2	WALKTRAN	0.000000
2	DRIVETRAN	-0.835309
2	DROPTRAN	-3.265041
2	WALKPREM	0.000000
2	WALKBUS	-2.405101
2	DRIVEPREM	0.000000
2	DRIVEBUS	-6.000000
2	DROPPREM	0.000000
2	DROPBUS	-6.000000
2	WALK	0.000000
2	BIKE	-5.497756
