SEGMENT	MODE	HBU_PEAK
1	AUTO	0.000000
1	TRANSIT	-0.288888
1	WALKBIKE	1.298886
1	SOV	0.000000
1	HOV	-2.044754
1	POOL2	0.000000
1	POOL3	-1.260843
1	WALKTRAN	0.000000
1	DRIVETRAN	-0.490753
1	DROPTRAN	-2.233478
1	WALKPREM	0.000000
1	WALKBUS	-0.374191
1	DRIVEPREM	0.000000
1	DRIVEBUS	-6.000000
1	DROPPREM	0.000000
1	DROPBUS	-5.858093
1	WALK	0.000000
1	BIKE	-6.000000
2	AUTO	0.000000
2	TRANSIT	-1.877066
2	WALKBIKE	-0.099202
2	SOV	0.000000
2	HOV	-2.329723
2	POOL2	0.000000
2	POOL3	-1.579033
2	WALKTRAN	0.000000
2	DRIVETRAN	-0.790032
2	DROPTRAN	-2.731811
2	WALKPREM	0.000000
2	WALKBUS	0.339212
2	DRIVEPREM	0.000000
2	DRIVEBUS	-6.000000
2	DROPPREM	0.000000
2	DROPBUS	-4.036355
2	WALK	0.000000
2	BIKE	-5.152292
1	AUTO	0.000000
1	TRANSIT	-0.256604
1	WALKBIKE	1.306006
1	SOV	0.000000
1	HOV	-2.044894
1	POOL2	0.000000
1	POOL3	-1.260896
1	WALKTRAN	0.000000
1	DRIVETRAN	-0.543063
1	DROPTRAN	-2.327582
1	WALKPREM	0.000000
1	WALKBUS	-0.298469
1	DRIVEPREM	0.000000
1	DRIVEBUS	-6.000000
1	DROPPREM	0.000000
1	DROPBUS	-5.668078
1	WALK	0.000000
1	BIKE	-6.000000
2	AUTO	0.000000
2	TRANSIT	-1.853780
2	WALKBIKE	-0.087805
2	SOV	0.000000
2	HOV	-2.329769
2	POOL2	0.000000
2	POOL3	-1.578990
2	WALKTRAN	0.000000
2	DRIVETRAN	-0.841627
2	DROPTRAN	-2.821863
2	WALKPREM	0.000000
2	WALKBUS	0.411354
2	DRIVEPREM	0.000000
2	DRIVEBUS	-6.000000
2	DROPPREM	0.000000
2	DROPBUS	-3.837629
2	WALK	0.000000
2	BIKE	-5.152789
1	AUTO	0.000000
1	TRANSIT	-0.268423
1	WALKBIKE	1.308841
1	SOV	0.000000
1	HOV	-2.044969
1	POOL2	0.000000
1	POOL3	-1.260950
1	WALKTRAN	0.000000
1	DRIVETRAN	-0.532153
1	DROPTRAN	-2.344600
1	WALKPREM	0.000000
1	WALKBUS	-0.229042
1	DRIVEPREM	0.000000
1	DRIVEBUS	-6.000000
1	DROPPREM	0.000000
1	DROPBUS	-5.548895
1	WALK	0.000000
1	BIKE	-6.000000
2	AUTO	0.000000
2	TRANSIT	-1.866178
2	WALKBIKE	-0.084741
2	SOV	0.000000
2	HOV	-2.329835
2	POOL2	0.000000
2	POOL3	-1.579022
2	WALKTRAN	0.000000
2	DRIVETRAN	-0.829451
2	DROPTRAN	-2.837758
2	WALKPREM	0.000000
2	WALKBUS	0.477175
2	DRIVEPREM	0.000000
2	DRIVEBUS	-6.000000
2	DROPPREM	0.000000
2	DROPBUS	-3.718003
2	WALK	0.000000
2	BIKE	-5.154722
1	AUTO	0.000000
1	TRANSIT	-0.283944
1	WALKBIKE	1.309517
1	SOV	0.000000
1	HOV	-2.044984
1	POOL2	0.000000
1	POOL3	-1.260965
1	WALKTRAN	0.000000
1	DRIVETRAN	-0.512567
1	DROPTRAN	-2.343563
1	WALKPREM	0.000000
1	WALKBUS	-0.166300
1	DRIVEPREM	0.000000
1	DRIVEBUS	-6.000000
1	DROPPREM	0.000000
1	DROPBUS	-5.472073
1	WALK	0.000000
1	BIKE	-6.000000
2	AUTO	0.000000
2	TRANSIT	-1.881186
2	WALKBIKE	-0.084125
2	SOV	0.000000
2	HOV	-2.329846
2	POOL2	0.000000
2	POOL3	-1.579033
2	WALKTRAN	0.000000
2	DRIVETRAN	-0.810088
2	DROPTRAN	-2.836627
2	WALKPREM	0.000000
2	WALKBUS	0.535986
2	DRIVEPREM	0.000000
2	DRIVEBUS	-6.000000
2	DROPPREM	0.000000
2	DROPBUS	-3.642933
2	WALK	0.000000
2	BIKE	-5.155274
1	AUTO	0.000000
1	TRANSIT	-0.298797
1	WALKBIKE	1.309701
1	SOV	0.000000
1	HOV	-2.044985
1	POOL2	0.000000
1	POOL3	-1.260968
1	WALKTRAN	0.000000
1	DRIVETRAN	-0.492988
1	DROPTRAN	-2.336180
1	WALKPREM	0.000000
1	WALKBUS	-0.109819
1	DRIVEPREM	0.000000
1	DRIVEBUS	-6.000000
1	DROPPREM	0.000000
1	DROPBUS	-5.421236
1	WALK	0.000000
1	BIKE	-6.000000
2	AUTO	0.000000
2	TRANSIT	-1.895203
2	WALKBIKE	-0.083992
2	SOV	0.000000
2	HOV	-2.329845
2	POOL2	0.000000
2	POOL3	-1.579035
2	WALKTRAN	0.000000
2	DRIVETRAN	-0.791398
2	DROPTRAN	-2.829468
2	WALKPREM	0.000000
2	WALKBUS	0.588356
2	DRIVEPREM	0.000000
2	DRIVEBUS	-6.000000
2	DROPPREM	0.000000
2	DROPBUS	-3.594534
2	WALK	0.000000
2	BIKE	-5.155446
