SEGMENT	MODE	NHB_OFFPEAK
1	AUTO	0.000000
1	TRANSIT	-3.399172
1	WALKBIKE	-0.537538
1	SOV	0.000000
1	HOV	-0.287961
1	POOL2	0.000000
1	POOL3	-0.817483
1	WALKTRAN	0.000000
1	DRIVETRAN	-1.336606
1	DROPTRAN	-3.076345
1	WALKPREM	0.000000
1	WALKBUS	1.708380
1	DRIVEPREM	0.000000
1	DRIVEBUS	-5.978430
1	DROPPREM	0.000000
1	DROPBUS	-2.823590
1	WALK	0.000000
1	BIKE	-4.352899
2	AUTO	0.000000
2	TRANSIT	-2.262341
2	WALKBIKE	1.846796
2	SOV	0.000000
2	HOV	-1.117684
2	POOL2	0.000000
2	POOL3	-1.559863
2	WALKTRAN	0.000000
2	DRIVETRAN	-0.467266
2	DROPTRAN	-6.000000
2	WALKPREM	0.000000
2	WALKBUS	-0.614132
2	DRIVEPREM	0.000000
2	DRIVEBUS	-5.497356
2	DROPPREM	0.000000
2	DROPBUS	-0.727146
2	WALK	0.000000
2	BIKE	-6.000000
1	AUTO	0.000000
1	TRANSIT	-3.461702
1	WALKBIKE	-0.537361
1	SOV	0.000000
1	HOV	-0.287962
1	POOL2	0.000000
1	POOL3	-0.817484
1	WALKTRAN	0.000000
1	DRIVETRAN	-1.263703
1	DROPTRAN	-2.988751
1	WALKPREM	0.000000
1	WALKBUS	1.993057
1	DRIVEPREM	0.000000
1	DRIVEBUS	-5.930754
1	DROPPREM	0.000000
1	DROPBUS	-2.788967
1	WALK	0.000000
1	BIKE	-4.352953
2	AUTO	0.000000
2	TRANSIT	-2.277424
2	WALKBIKE	1.847639
2	SOV	0.000000
2	HOV	-1.117681
2	POOL2	0.000000
2	POOL3	-1.559860
2	WALKTRAN	0.000000
2	DRIVETRAN	-0.453052
2	DROPTRAN	-6.000000
2	WALKPREM	0.000000
2	WALKBUS	-0.530044
2	DRIVEPREM	0.000000
2	DRIVEBUS	-5.461128
2	DROPPREM	0.000000
2	DROPBUS	-0.595846
2	WALK	0.000000
2	BIKE	-6.000000
1	AUTO	0.000000
1	TRANSIT	-3.514089
1	WALKBIKE	-0.537350
1	SOV	0.000000
1	HOV	-0.287962
1	POOL2	0.000000
1	POOL3	-0.817484
1	WALKTRAN	0.000000
1	DRIVETRAN	-1.196904
1	DROPTRAN	-2.918759
1	WALKPREM	0.000000
1	WALKBUS	2.221423
1	DRIVEPREM	0.000000
1	DRIVEBUS	-5.882909
1	DROPPREM	0.000000
1	DROPBUS	-2.748888
1	WALK	0.000000
1	BIKE	-4.352972
2	AUTO	0.000000
2	TRANSIT	-2.293791
2	WALKBIKE	1.848012
2	SOV	0.000000
2	HOV	-1.117683
2	POOL2	0.000000
2	POOL3	-1.559863
2	WALKTRAN	0.000000
2	DRIVETRAN	-0.432297
2	DROPTRAN	-6.000000
2	WALKPREM	0.000000
2	WALKBUS	-0.461847
2	DRIVEPREM	0.000000
2	DRIVEBUS	-5.437812
2	DROPPREM	0.000000
2	DROPBUS	-0.522622
2	WALK	0.000000
2	BIKE	-6.000000
1	AUTO	0.000000
1	TRANSIT	-3.557262
1	WALKBIKE	-0.537344
1	SOV	0.000000
1	HOV	-0.287962
1	POOL2	0.000000
1	POOL3	-0.817484
1	WALKTRAN	0.000000
1	DRIVETRAN	-1.142124
1	DROPTRAN	-2.863748
1	WALKPREM	0.000000
1	WALKBUS	2.406144
1	DRIVEPREM	0.000000
1	DRIVEBUS	-5.840290
1	DROPPREM	0.000000
1	DROPBUS	-2.708788
1	WALK	0.000000
1	BIKE	-4.352983
2	AUTO	0.000000
2	TRANSIT	-2.307299
2	WALKBIKE	1.848141
2	SOV	0.000000
2	HOV	-1.117685
2	POOL2	0.000000
2	POOL3	-1.559864
2	WALKTRAN	0.000000
2	DRIVETRAN	-0.414941
2	DROPTRAN	-6.000000
2	WALKPREM	0.000000
2	WALKBUS	-0.406526
2	DRIVEPREM	0.000000
2	DRIVEBUS	-5.421553
2	DROPPREM	0.000000
2	DROPBUS	-0.480897
2	WALK	0.000000
2	BIKE	-6.000000
